"","month","concentration","year","contaminant"
"109","Jan9",0.0421290322580645,2019,"OZONE"
"110","Feb9",0.0465,2019,"OZONE"
"111","Mar9",0.0506451612903226,2019,"OZONE"
"112","Apr9",0.0568333333333333,2019,"OZONE"
"113","May9",0.0558064516129032,2019,"OZONE"
"114","June9",0.0663,2019,"OZONE"
"115","July9",0.0670322580645161,2019,"OZONE"
"116","Aug9",0.0666451612903226,2019,"OZONE"
"117","Sep9",0.0595,2019,"OZONE"
"118","Oct9",0.0589354838709677,2019,"OZONE"
"119","Nov9",0.0544,2019,"OZONE"
"120","Dec9",0.0411290322580645,2019,"OZONE"
"121","Jan10",0.0431612903225806,2020,"OZONE"
"122","Feb10",0.0483793103448276,2020,"OZONE"
"123","Mar10",0.0483870967741935,2020,"OZONE"
"124","Apr10",0.0542333333333333,2020,"OZONE"
"125","May10",0.0629677419354839,2020,"OZONE"
"126","June10",0.0620666666666667,2020,"OZONE"
"127","July10",0.0675806451612903,2020,"OZONE"
"128","Aug10",0.0724516129032258,2020,"OZONE"
"129","Sep10",0.0683666666666667,2020,"OZONE"
"130","Oct10",0.064,2020,"OZONE"
"131","Nov10",0.0465333333333333,2020,"OZONE"
"132","Dec10",0.0441612903225806,2020,"OZONE"
"133","Jan11",0.0427741935483871,2021,"OZONE"
"134","Feb11",0.0472857142857143,2021,"OZONE"
"135","Mar11",0.0503548387096774,2021,"OZONE"
"136","Apr11",0.0567,2021,"OZONE"
"137","May11",0.0605806451612903,2021,"OZONE"
"138","June11",0.0668,2021,"OZONE"
"139","July11",0.0686451612903226,2021,"OZONE"
"140","Aug11",0.0723870967741936,2021,"OZONE"
"141","Sep11",0.0663666666666667,2021,"OZONE"
"142","Oct11",0.0530645161290323,2021,"OZONE"
"143","Nov11",0.0479,2021,"OZONE"
"144","Dec11",0.0434838709677419,2021,"OZONE"
"145","Jan12",0.0464193548387097,2022,"OZONE"
"146","Feb12",0.0500357142857143,2022,"OZONE"
"147","Mar12",0.0518709677419355,2022,"OZONE"
"148","Apr12",0.0569,2022,"OZONE"
"149","May12",0.0628387096774193,2022,"OZONE"
"150","June12",0.0655,2022,"OZONE"
"151","July12",0.0652258064516129,2022,"OZONE"
"152","Aug12",0.064741935483871,2022,"OZONE"
"153","Sep12",0.0582666666666667,2022,"OZONE"
"154","Oct12",0.0575161290322581,2022,"OZONE"
"155","Nov12",0.0439411764705882,2022,"OZONE"
"156","Dec12",NA,2022,"OZONE"
"157","Jan13",0.175354838709677,2010,"NOX"
"158","Feb13",0.101321428571429,2010,"NOX"
"159","Mar13",0.0682258064516129,2010,"NOX"
